wid,word,image,practice,block,response_type,typing_rt,response,type_time,rt
w9e4dd03,heart,../static/stimuli/images/bookstore/sun_aauabdbreuzsnnrv.jpg,False,2,intrusion,5671.199999928474,edge,982.6000000238419,6653.799999952316
w7e03059,hay,../static/stimuli/images/skiresort/sun_agpfoakkwrzedbll.jpg,False,2,correct,2753.2000000029802,hay,780.8999999985099,3534.10000000149
w7e03059,nut,../static/stimuli/images/grocery/sun_aczzweebuokhxnbb.jpg,False,2,correct,3381.7000000029802,nut,2793.6999999955297,6175.39999999851
w7e03059,fence,../static/stimuli/images/subway/sun_aoelchwqhnnizmrp.jpg,False,2,correct,2117.7000000029802,fence,868.5,2986.2000000029802
w7e03059,potato,../static/stimuli/images/underwater/sun_ajbkjsrhukffyqix.jpg,False,2,correct,2675.5,potato,2065.7000000029802,4741.20000000298
w7e03059,volcano,../static/stimuli/images/garage/sun_deomonrjnryvglit.jpg,True,2,empty,11040.79999999702,,0.0,11040.79999999702
w7e03059,apple,../static/stimuli/images/gym/sun_agptlflfgabhuxym.jpg,False,2,correct,2613.7000000029802,apple,1953.5,4567.20000000298
w7e03059,bag,../static/stimuli/images/bookstore/sun_azkcgugtqfaunxwq.jpg,False,2,correct,2130.0,bag,687.6999999955297,2817.6999999955297
w7e03059,hat,../static/stimuli/images/ziggurat/sun_agbaptlibgqhrwwn.jpg,False,2,correct,3376.39999999851,hat,686.7000000029802,4063.10000000149
w7e03059,bee,../static/stimuli/images/sky/sun_agaqzpqhbcmmvisy.jpg,False,2,correct,1858.2000000029802,bee,739.1999999955297,2597.39999999851
w7e03059,candle,../static/stimuli/images/vineyard/sun_axkbfhmkopqemnsq.jpg,False,2,correct,1996.2999999970198,candle,1352.0,3348.2999999970198
w7e03059,ear,../static/stimuli/images/pool/sun_alkvkavnnunmdavq.jpg,False,2,correct,3284.1999999955297,ear,2017.2000000029802,5301.39999999851
w7e03059,cake,../static/stimuli/images/musuem/sun_argfiirfjlkefabp.jpg,False,2,correct,1687.7999999970198,cake,679.0,2366.7999999970198
w7e03059,truck,../static/stimuli/images/house/sun_aacohnpwcrythslq.jpg,False,2,correct,2113.89999999851,truck,2262.5,4376.39999999851
w7e03059,bird,../static/stimuli/images/street/sun_avddlmbtwpvlxdol.jpg,False,2,correct,3286.39999999851,bird,1138.2999999970198,4424.69999999553
w7e03059,snake,../static/stimuli/images/kitchen/sun_aizcycyyvgfcdnzp.jpg,False,2,correct,1774.3999999985099,snake,734.7000000029802,2509.10000000149
w7e03059,bread,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,2,correct,2388.89999999851,bread,2033.8999999985099,4422.79999999702
